---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 01   , 7225   , bereshit               , In <the> beginning             ,                                             , Prep-b ; N-fs                STARTHERE
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 01   , 430    , elohim                 , God [Elohim]                   ,                                             , N-mp
gen  , 01   , 01   , 1254   , bara                   , he created                     , VQal                                        , V-Qal-Perf-3ms
gen  , 01   , 01   , 853    , et                     , -                              , DirObjM
gen  , 01   , 01   , 8064   , ha-shamayim            , the heavens [skies]            ,                                             , Art ; N-mp
gen  , 01   , 01   , 853    , ve-et                  , and                            ,                                             , Conj-w ; DirObjM
gen  , 01   , 01   , 776    , ha-aretz               , the earth [aretz]              ,                                             , Art ; N-fs
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 02   , 776    , ve-ha-ares             , And the earth                  ,                                             , Conj-w ; Art ; N-fs
gen  , 01   , 02   , 1961   , ha-yetah               , was                            , VQal                                        , V-Qal-Perf-3fs
gen  , 01   , 02   , 8414   , tohu                   , formless                       ,                                             , N-ms
gen  , 01   , 02   , 922    , va-vohu                , and void [empty]               ,                                             , Conj-w ; N-ms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 02   , 2822   , ve-choshech            , And darkness                   ,                                             , Conj-w ; N-ms
gen  , 01   , 02   , 5921   , al-                    , over                           ,                                             , Prep
gen  , 01   , 02   , 6440   , penei                  , face [lit. faces]              ,                                             , N-cpc
gen  , 01   , 02   , 8415   , tehom                  , of deep                        ,                                             , N-cs
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 02   , 7307   , ve-ruach               , And Spirit                     ,                                             , Conj-w ; N-csc
gen  , 01   , 02   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 02   , 7363   , merachefet             , was hovering                   ,                                             , V-Piel-Prtcpl-fs
gen  , 01   , 02   , 5921   , al-                    , over [upon]                    ,                                             , Prep
gen  , 01   , 02   , 6440   , panei                  , faces                          ,                                             , N-cpc
gen  , 01   , 02   , 4325   , ham-mā-yim.            , the waters                     ,                                             , Art ; N-mp
gen  , 01   , 02   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 03   , 559    , va-yomer               , And he said                    ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 03   , 430    , elohim                 , God [Elohim]                   ,                                             , N-mp
gen  , 01   , 03   , 1961   , yehi                   , let there be                   ,                                             , V-Qal-Imperf.Jus-3ms
gen  , 01   , 03   , 216    , or                     , light                          ,                                             , N-cs
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 03   , 1961   , va-yehi                , and there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 03   , 216    , or                     , light                          ,                                             , N-cs
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 04   , 7200   , va-yar                 , And he saw                     ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 04   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 04   , 853    , et-                    , -                              ,                                             , DirObjM
gen  , 1    , 04   , 216    , ha-or                  , the light                      ,                                             , Art ; N-cs
gen  , 1    , 04   , 3588   , ki-                    , that                           ,                                             , Conj
gen  , 1    , 04   , 2896   , tov                    , good                           ,                                             , Adj-ms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 04   , 914    , va-yavdel              , and he divided [separated]     ,                                             , Conj-w ; V-Hifil-ConsecImperf-3ms
gen  , 1    , 04   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 04   , 996    , ven                    , between                        ,                                             , Prep
gen  , 1    , 04   , 216    , ha-or                  , the light                      ,                                             , Art ; N-cs
gen  , 1    , 04   , 996    , ve-ben                 , and between                    ,                                             , Conj-w ; Prep
gen  , 1    , 04   , 2822   , ha-choshek             , the darkness                   ,                                             , Art ; N-ms
gen  , 1    , 04   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 05   , 7121   , va-yikra               , And he called                  ,                                             , Conj-w; V-Qal-ConsecImperf-3ms
gen  , 01   , 05   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 05   , 216    , la-or                  , to the? light                  , Article???                                  , Prep-l; Art ; N-cs
gen  , 01   , 05   , 3117   , yom                    , day                            ,                                             , N-ms
gen  , 01   , 05   , 2822   , ve-la-choshek          , and to the darkness            ,                                             , Conj-w; Prep-l; Art; N-ms
gen  , 01   , 05   , 7121   , qara                   , He called                      ,                                             , V-Qal-Perf-3ms
gen  , 01   , 05   , 3915   , laylah                 , night                          ,                                             , N-ms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 05   , 1961   , va-yehi                , And there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 05   , 6153   , erev                   , sunset [evening]               ,                                             , N-ms
gen  , 01   , 05   , 1961   , va-yehi                , and there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 05   , 1242   , boker                  , sunrise [morning]              ,                                             , N-ms
gen  , 01   , 05   , 3117   , yom                    , day                            ,                                             , N-ms
gen  , 01   , 05   , 259    , echad                  , first                          ,                                             , Number-ms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 06   , 559    , va-yomer               , And said                       ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 06   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 06   , 1961   , yehi                   , let there be                   ,                                             , V-Qal-Imperf.Jus-3ms
gen  , 01   , 06   , 7549   , rakia                  , expanse                        ,                                             , N-ms
gen  , 01   , 06   , 8432   , b-tokh                 , in midst [middle]              ,                                             , Prep-b ; N-msc
gen  , 01   , 06   , 4325   , ha-mayim               , the waters                     ,                                             , Art ; N-mp
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 06   , 1961   , va-yehi                , and let it                     ,                                             , Conj-w ; V-Qal-ConjImperf.Jus-3ms
gen  , 01   , 06   , 914    , mavdil                 , divide                         ,                                             , V-Hifil-Prtcpl-ms
gen  , 01   , 06   , 996    , ven                    , between                        ,                                             , Prep
gen  , 01   , 06   , 4325   , mayim                  , waters                         ,                                             , N-mp
gen  , 01   , 06   , 4325   , la-mayim               , to/for waters                  ,                                             , Prep-l ; N-mp
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 07   , 6213   , va-yaas                , And he made                    ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 07   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 07   , 853    , et-                    , -                              ,                                             , DirObjM
gen  , 01   , 07   , 7549   , ha-rakia               , the expanse                    ,                                             , Art ; N-ms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 07   , 914    , va-yavdel              , and He divided                 ,                                             , Conj-w ; V-Hifil-ConsecImperf-3ms
gen  , 01   , 07   , 996    , ven                    , between                        ,                                             , Prep
gen  , 01   , 07   , 4325   , ha-mayim               , the waters                     ,                                             , Art ; N-mp
gen  , 01   , 07   , 834    , asher                  , that                           ,                                             , Pro-r
gen  , 01   , 07   , 8478   , mitachat               , under                          ,                                             , Prep-m
gen  , 01   , 07   , 7549   , la-rakia               , the firmament                  ,                                             , Prep-l; Art ; N-ms
gen  , 01   , 07   , 996    , u-ven                  , and between                    ,                                             , Conj-w ; Prep
gen  , 01   , 07   , 4325   , ha-mayim               , the waters                     ,                                             , Art ; N-mp
gen  , 01   , 07   , 834    , asher                  , that                           ,                                             , Pro-r
gen  , 01   , 07   , 5921   , me-al                  , above                          ,                                             , Prep-m
gen  , 01   , 07   , 7549   , la-rakia               , the firmament                  ,                                             , Prep-l Art ; N-ms
gen  , 01   , 07   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 07   , 1961   , va-yehi                , and it was                     ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 07   , 3651   , ken                    , so                             ,                                             , Adv
gen  , 01   , 07   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 08   , 7121   , va-yikra               , And he called                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 08   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 08   , 7549   , la-rakia               , to the expanse                 ,                                             , Prep-l Art ; N-ms
gen  , 01   , 08   , 8064   , shamayim               , Heavens                        ,                                             , N-mp
gen  , 01   , 08   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 08   , 1961   , va-yehi                , And there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 08   , 6153   , erev                   , sunset [evening]               ,                                             , N-ms
gen  , 01   , 08   , 1961   , va-yehi                , and there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 08   , 1242   , boker                  , sunrise [morning]              ,                                             , N-ms
gen  , 01   , 08   , 3117   , yom                    , day                            ,                                             , N-ms
gen  , 01   , 08   , 8145   , sheni                  , second                         ,                                             , Number-oms
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 09   , 559    , va-yomer               , And said                       ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 09   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 01   , 09   , 6960   , yikkavu                , let be gathered together       , STARTHERE                                   , V-Nifal-Imperf-3mp
gen  , 01   , 09   , 4325   , ha-mayim               , the waters                     ,                                             , Art ; N-mp
gen  , 01   , 09   , 8478   , mit-tachat             , under                          ,                                             , Prep-m
gen  , 01   , 09   , 8064   , ha-shamayim            , the heavens                    ,                                             , Art ; N-mp
gen  , 01   , 09   , 413    , el-                    , into                           ,                                             , Prep
gen  , 01   , 09   , 4725   , makom                  , place                          ,                                             , N-ms
gen  , 01   , 09   , 259    , echad                  , one                            ,                                             , Number-ms
gen  , 01   , 09   , 7200   , va-teraeh              , and let appear                 ,                                             , Conj-w ; V-Nifal-ConjImperf-3fs
gen  , 01   , 09   , 3004   , ha-yabashah            , the dry [land]                 ,                                             , Art ; N-fs
gen  , 01   , 09   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 01   , 09   , 1961   , va-yehi                , and it was                     ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 01   , 09   , 3651   , ken                    , so                             ,                                             , Adv
gen  , 01   , 09   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 10   , 7121   , va-yikra               , And he called                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 10   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 10   , 3004   , lay-yab-bā-šāh         , the dry [land]                 ,                                             , Prep-l                                                                                                                          , Art ; N-fs
gen  , 1    , 10   , 776    , ’e-reṣ                 , Earth                          ,                                             , N-fs
gen  , 1    , 10   , 4723   , ū-lə-miq-wêh           , and the collection             ,                                             , Conj-w                                                                                                                          , Prep-l ; N-msc
gen  , 1    , 10   , 4325   , ham-ma-yim             , of the waters                  ,                                             , Art ; N-mp
gen  , 1    , 10   , 7121   , qā-rā                  , He called                      ,                                             , V-Qal-Perf-3ms
gen  , 1    , 10   , 3220   , yam-mîm                , Seas                           ,                                             , N-mp
gen  , 1    , 10   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 10   , 7200   , way-yar                , And saw                        ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 10   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 10   , 3588   , kî-                    , that                           ,                                             , Conj
gen  , 1    , 10   , 2896   , ṭō-wḇ                  , [it was] good                  ,                                             , Adj-ms
gen  , 1    , 10   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------

---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 11   , 559    , way-yō-mer             , And said                       ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 11   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 11   , 1876   , taḏ-šê                 , let bring forth                ,                                             , V-Hifil-Imperf.Jus-3fs
gen  , 1    , 11   , 776    , hā-’ā-reṣ              , the earth                      ,                                             , Art ; N-fs
gen  , 1    , 11   , 1877   , de-še                  , grass                          ,                                             , N-ms
gen  , 1    , 11   , 6212   , ‘ê-śeḇ                 , the herb                       ,                                             , N-ms
gen  , 1    , 11   , 2232   , maz-rî-a‘              , [that] yields                  ,                                             , V-Hifil-Prtcpl-ms
gen  , 1    , 11   , 2233   , ze-ra‘                 , seed                           ,                                             , N-ms
gen  , 1    , 11   , 6086   , ‘êṣ                    , [and] the tree                 ,                                             , N-msc
gen  , 1    , 11   , 6529   , pə-rî                  , fruit                          ,                                             , N-ms
gen  , 1    , 11   , 6213   , ‘ō-śeh                 , [that] yields                  ,                                             , V-Qal-Prtcpl-ms
gen  , 1    , 11   , 6529   , pə-rî                  , fruit                          ,                                             , N-ms
gen  , 1    , 11   , 4327   , lə-mî-nōw              , according to its kind          ,                                             , Prep-l ; N-msc ; 3ms
gen  , 1    , 11   , 834    , ’ă-šer                 , whose                          ,                                             , Pro-r
gen  , 1    , 11   , 2233   , zar-‘ōw-               , seed [is]                      ,                                             , N-msc ; 3ms
gen  , 1    , 11   , 0000   , ḇōw                    , in itself                      ,                                             , Prep ; 3ms
gen  , 1    , 11   , 5921   , ‘al-                   , on                             ,                                             , Prep
gen  , 1    , 11   , 776    , hā-’ā-reṣ              , the earth                      ,                                             , Art ; N-fs
gen  , 1    , 11   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 11   , 1961   , va-yehi                , and it was                     ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 11   , 3651   , ken                    , so                             ,                                             , Adv
gen  , 1    , 11   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 12   , 3318   , wat-tō-w-ṣê            , And brought forth              ,                                             , Conj-w ; V-Hifil-ConsecImperf-3fs
gen  , 1    , 12   , 776    , hā-’ā-reṣ              , the earth                      ,                                             , Art ; N-fs
gen  , 1    , 12   , 1877   , de-še                  , grass                          ,                                             , N-ms
gen  , 1    , 12   , 6212   , ‘ê-śeḇ                 , the herb                       ,                                             , N-ms
gen  , 1    , 12   , 2232   , maz-rî-a‘              , [that] yields                  ,                                             , V-Hifil-Prtcpl-ms
gen  , 1    , 12   , 2233   , ze-ra‘                 , seed                           ,                                             , N-ms
gen  , 1    , 12   , 4327   , lə-mî-nê-hū            , according to its kind          ,                                             , Prep-l ; N-msc ; 3ms
gen  , 1    , 12   , 6086   , wə-‘êṣ                 , and the tree                   ,                                             , Conj-w ; N-ms
gen  , 1    , 12   , 6213   , ‘ō-śeh-                , [that] yields                  ,                                             , V-Qal-Prtcpl-ms
gen  , 1    , 12   , 6529   , pə-rî                  , fruit                          ,                                             , N-ms
gen  , 1    , 12   , 834    , ’ă-šer                 , whose                          ,                                             , Pro-r
gen  , 1    , 12   , 2233   , zar-‘ōw-               , seed [is]                      ,                                             , N-msc ; 3ms
gen  , 1    , 12   , 0000   , ḇōw                    , in itself                      ,                                             , Prep ; 3ms
gen  , 1    , 12   , 4327   , lə-mî-nê-hū            , according to its kind          ,                                             , Prep-l ; N-msc ; 3ms
gen  , 1    , 12   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 12   , 7200   , way-yar                , and saw                        ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 12   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 12   , 3588   , kî-                    , that                           ,                                             , Conj
gen  , 1    , 12   , 2896   , ṭō-wḇ                  , [it was] good                  ,                                             , Adj-ms
gen  , 1    , 12   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 13   , 1961   , va-yehi                , And there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 13   , 6153   , ‘e-reḇ                 , evening                        ,                                             , N-ms
gen  , 1    , 13   , 1961   , va-yehi                , and there was                  ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 13   , 1242   , ḇō-qer                 , morning                        ,                                             , N-ms
gen  , 1    , 13   , 3117   , yō-wm                  , day                            ,                                             , N-ms
gen  , 1    , 13   , 7992   , šə-lî-šî.              , the third                      ,                                             , Number-oms
gen  , 1    , 13   , 0000   , p̄                      , -                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 14   , 559    , way-yō-mer             , And said                       ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 14   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 14   , 1961   , yə-hî                  , let there be                   ,                                             , V-Qal-Imperf.Jus-3ms
gen  , 1    , 14   , 3974   , mə-’ō-rōṯ              , lights                         ,                                             , N-mp
gen  , 1    , 14   , 7549   , bir-qî-a‘              , in the firmament               ,                                             , Prep-b ; N-msc
gen  , 1    , 14   , 8064   , haš-šā-ma-yim          , of the heavens                 ,                                             , Art ; N-mp
gen  , 1    , 14   , 914    , lə-haḇ-dîl             , to divide                      ,                                             , Prep-l ; V-Hifil-Inf
gen  , 1    , 14   , 996    , bên                    , between                        ,                                             , Prep
gen  , 1    , 14   , 3117   , hay-yō-wm              , the day                        ,                                             , Art ; N-ms
gen  , 1    , 14   , 996    , ū-ḇên                  , and between                    ,                                             , Conj-w ; Prep
gen  , 1    , 14   , 3915   , hal-lā-yə-lāh          , the night                      ,                                             , Art ; N-ms
gen  , 1    , 14   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 14   , 1961   , wə-hā-yū               , and let them be                ,                                             , Conj-w ; V-Qal-ConjPerf-3cp
gen  , 1    , 14   , 226    , lə-’ō-ṯōṯ              , for signs                      ,                                             , Prep-l ; N-cp
gen  , 1    , 14   , 4150   , ū-lə-mō-w-‘ă-ḏîm       , and seasons                    ,                                             , Conj-w                                                                                                                          , Prep-l ; N-mp
gen  , 1    , 14   , 3117   , ū-lə-yā-mîm            , for days                       ,                                             , Conj-w                                                                                                                          , Prep-l ; N-mp
gen  , 1    , 14   , 8141   , wə-šā-nîm              , and years                      ,                                             , Conj-w ; N-fp
gen  , 1    , 14   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 15   , 1961   , wə-hā-yū               , And let them be                ,                                             , Conj-w ; V-Qal-ConjPerf-3cp
gen  , 1    , 15   , 3974   , lim-’ō-w-rōṯ           , for lights                     ,                                             , Prep-l ; N-mp
gen  , 1    , 15   , 7549   , bir-qî-a‘              , in the firmament               ,                                             , Prep-b ; N-msc
gen  , 1    , 15   , 8064   , haš-šā-ma-yim          , of the heavens                 ,                                             , Art ; N-mp
gen  , 1    , 15   , 215    , lə-hā-’îr              , to shine                       ,                                             , Prep-l ; V-Hifil-Inf
gen  , 1    , 15   , 5921   , ‘al-                   , upon                           ,                                             , Prep
